"searchterms","exclusionterms","searched_in_column","searchmethod"
"puva","Visible light","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"psoralen","Radiation",,
"light therapy","complication",,
"phototherapy","treatment record",,
"ultraviolet b","skin rash",,
"ultraviolet a","newborn",,
"uvb","neonate",,
"^uva ","Refer",,
"Ultraviolet therapy",,,
