"code","ALT_CODE","USAGE","USAGE_UK","DESCRIPTION","MODIFIER_4","MODIFIER_5","QUALIFIERS","GENDER_MASK","MIN_AGE","MAX_AGE","TREE_DESCRIPTION"
"B00","B00","DEFAULT","3","Herpesviral [herpes simplex] infections","","","",,,,""
"B00.0","B000","DEFAULT","3","Eczema herpeticum","","","",,,,""
"B00.1","B001","DEFAULT","3","Herpesviral vesicular dermatitis","","","",,,,""
"B00.2","B002","DEFAULT","3","Herpesviral gingivostomatitis and pharyngotonsillitis","","","",,,,""
"B00.3","B003","DAGGER","1","Herpesviral meningitis","","","G02.0",,,,""
"B00.4","B004","DAGGER","1","Herpesviral encephalitis","","","G05.1",,,,""
"B00.5","B005","DEFAULT","3","Herpesviral ocular disease","","","",,,,""
"B00.7","B007","DEFAULT","3","Disseminated herpesviral disease","","","",,,,""
"B00.8","B008","DEFAULT","3","Other forms of herpesviral infection","","","",,,,""
"B00.9","B009","DEFAULT","3","Herpesviral infection, unspecified","","","",,,,""
